               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.018646,           0.0055474,           0.0049146,             0.99501,             0.99422,             0.99483,             0.85365,            0.013551,           0.0041259,           0.0010648,           0.0094215,           0.0094215,           0.0094215
                  54,            0.018689,           0.0055481,           0.0049474,             0.99478,             0.99403,             0.99486,             0.85288,            0.013528,           0.0041252,            0.001058,           0.0093996,           0.0093996,           0.0093996
                  55,            0.018712,           0.0055409,            0.004961,             0.99485,             0.99384,             0.99487,             0.85285,            0.013527,           0.0041312,           0.0010609,           0.0093773,           0.0093773,           0.0093773
                  56,            0.018665,           0.0055562,           0.0049207,             0.99481,             0.99362,             0.99498,             0.85254,            0.013527,           0.0041324,           0.0010427,           0.0093547,           0.0093547,           0.0093547
                  57,            0.018603,           0.0055272,           0.0049283,             0.99506,             0.99348,             0.99498,             0.85258,            0.013532,           0.0041297,           0.0010357,           0.0093317,           0.0093317,           0.0093317
                  58,            0.018561,           0.0055235,           0.0048665,             0.99547,              0.9935,             0.99503,              0.8532,            0.013511,           0.0041235,           0.0010359,           0.0093083,           0.0093083,           0.0093083
                  59,            0.018608,            0.005519,           0.0049209,             0.99549,             0.99373,             0.99504,             0.85341,            0.013515,           0.0041216,           0.0010362,           0.0092846,           0.0092846,           0.0092846
                  60,            0.018597,           0.0055194,           0.0049428,             0.99545,              0.9939,             0.99503,             0.85357,            0.013529,           0.0041235,           0.0010267,           0.0092605,           0.0092605,           0.0092605
                  61,            0.018588,           0.0055212,           0.0048856,             0.99579,             0.99417,             0.99505,             0.85383,              0.0135,           0.0041214,           0.0010273,           0.0092361,           0.0092361,           0.0092361
                  62,             0.01854,           0.0055186,           0.0048665,             0.99568,             0.99419,             0.99504,             0.85427,            0.013475,           0.0041222,            0.001011,           0.0092113,           0.0092113,           0.0092113
