               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.023593,           0.0074911,            0.007677,             0.98943,             0.97159,             0.99194,             0.79261,            0.017137,            0.005411,           0.0020213,           0.0085818,           0.0085818,           0.0085818
                  85,            0.023577,           0.0074942,           0.0076471,             0.98837,             0.97214,             0.99206,             0.79217,            0.017128,           0.0054068,           0.0020148,           0.0085497,           0.0085497,           0.0085497
                  86,            0.023515,           0.0074607,           0.0076258,             0.98846,             0.97241,             0.99206,             0.79229,            0.017108,            0.005402,           0.0020086,           0.0085173,           0.0085173,           0.0085173
                  87,            0.023515,           0.0074861,           0.0076139,             0.98823,             0.97419,             0.99197,             0.79254,            0.017104,           0.0053967,           0.0020162,           0.0084846,           0.0084846,           0.0084846
                  88,            0.023487,           0.0074633,           0.0076193,             0.98921,             0.97403,             0.99185,             0.79367,            0.017096,           0.0053934,           0.0020102,           0.0084516,           0.0084516,           0.0084516
                  89,            0.023486,           0.0074685,           0.0076228,             0.98905,             0.97412,             0.99185,             0.79406,            0.017073,           0.0053884,           0.0020091,           0.0084184,           0.0084184,           0.0084184
                  90,            0.023493,           0.0074802,           0.0075395,             0.98895,             0.97291,             0.99177,             0.79365,            0.017063,           0.0053845,           0.0020153,           0.0083849,           0.0083849,           0.0083849
                  91,            0.023444,           0.0074644,           0.0075857,              0.9894,             0.97189,             0.99179,             0.79456,            0.017062,           0.0053882,           0.0019983,           0.0083511,           0.0083511,           0.0083511
                  92,            0.023402,           0.0074599,           0.0075161,             0.98943,             0.97163,             0.99186,             0.79538,            0.017028,           0.0053851,           0.0019936,           0.0083171,           0.0083171,           0.0083171
                  93,             0.02344,            0.007459,           0.0075354,             0.98693,             0.97441,             0.99191,               0.796,            0.017004,           0.0053812,           0.0019962,           0.0082829,           0.0082829,           0.0082829
                  94,            0.023332,           0.0074094,           0.0075096,              0.9876,             0.97476,             0.99198,              0.7962,            0.016998,           0.0053788,           0.0019896,           0.0082483,           0.0082483,           0.0082483
                  95,            0.023345,           0.0074465,           0.0074997,             0.98794,             0.97508,             0.99164,             0.79633,            0.016982,           0.0053747,           0.0019836,           0.0082136,           0.0082136,           0.0082136
                  96,            0.023306,           0.0074089,            0.007539,             0.98778,             0.97448,             0.99169,             0.79761,            0.016946,            0.005368,           0.0019758,           0.0081786,           0.0081786,           0.0081786
                  97,            0.023258,           0.0074236,           0.0074583,             0.98597,             0.97646,             0.99172,             0.79741,            0.016943,           0.0053622,           0.0019736,           0.0081433,           0.0081433,           0.0081433
                  98,            0.023335,           0.0074194,           0.0074947,             0.98644,               0.975,             0.99178,             0.79695,            0.016932,           0.0053598,            0.001971,           0.0081078,           0.0081078,           0.0081078
                  99,            0.023282,           0.0074215,           0.0074448,             0.98624,             0.97567,             0.99201,             0.79797,            0.016891,           0.0053519,           0.0019513,           0.0080721,           0.0080721,           0.0080721
                 100,            0.023249,           0.0073889,           0.0074638,             0.98628,              0.9763,             0.99193,             0.79802,            0.016871,           0.0053457,           0.0019385,           0.0080362,           0.0080362,           0.0080362
                 101,            0.023195,           0.0074174,           0.0074874,             0.98839,             0.97364,             0.99205,             0.79825,            0.016839,           0.0053404,           0.0019294,               0.008,               0.008,               0.008
                 102,            0.023304,           0.0074076,           0.0074814,             0.98875,              0.9742,             0.99228,             0.79809,            0.016829,           0.0053382,           0.0019228,           0.0079636,           0.0079636,           0.0079636
                 103,            0.023233,           0.0074053,           0.0074415,             0.98939,             0.97332,             0.99228,             0.79779,            0.016837,           0.0053421,           0.0019185,            0.007927,            0.007927,            0.007927
                 104,            0.023157,           0.0073775,            0.007417,             0.98939,             0.97415,             0.99198,             0.79828,            0.016831,           0.0053395,           0.0019107,           0.0078902,           0.0078902,           0.0078902
                 105,            0.023149,           0.0073959,           0.0073768,             0.98861,             0.97518,             0.99205,             0.79898,            0.016819,           0.0053379,           0.0019022,           0.0078532,           0.0078532,           0.0078532
                 106,            0.023134,           0.0073638,           0.0072797,             0.98839,              0.9751,             0.99203,             0.79818,            0.016808,           0.0053359,           0.0019019,            0.007816,            0.007816,            0.007816
                 107,            0.023045,           0.0073629,           0.0073523,             0.98769,             0.97491,             0.99187,             0.79808,            0.016807,            0.005332,            0.001905,           0.0077785,           0.0077785,           0.0077785
